Код,Наименование,Биоматериал,Тип результата,Лаборатория исполнения,"Алматы, СРОК","Партнерская цена, в тенге.",Цена для клиентов на сайте checkdoc
109,"Глюкоза, суточная моча (Glucose, 24-Hour urine)",Моча,Кол,МСК, до 2,  704 ,  986 
110,"Креатинин, суточная моча (Creatinine, 24-Hour urine)",Моча,Кол,МСК, до 2,  864 ,  1 210 
96,"Проба Реберга (Клиренс эндогенного креатинина, скорость клубочковой фильтрации) (Glomerular Filtration Rate, GFR)*",Моча,Кол,МСК, до 2,  1 352 ,  1 893 
108,"Амилаза в моче суточной или порционной за измеренное время (Альфа-амилаза, диастаза мочи) (Amylase, 24-Hour or Timed Urine)",Моча,Кол,МСК, до 2,  784 ,  1 098 
111,"Мочевина, суточная моча (Urea, 24-Hour urine)",Моча,Кол,МСК, до 2,  696 ,  974 
112,"Мочевая кислота, суточная моча (Uric Аcid, 24-Hour urine)",Моча,Кол,МСК, до 2,  784 ,  1 098 
97,"Общий белок, суточная моча (Protein Total, 24-Hour urine)",Моча,Кол,Алматы, до 2,  1 209 ,  1 692 
918,"Метанефрины фракционированные свободные, суточная моча",Моча,Кол,МСК,до 6,  11 992 ,  16 789 
110113,"Кальций, разовая  порция мочи (с креатинином и расчетом кальций/креатинин отношения) (Calcium, random urine, with creatinine and calcium/creatinine ratio calculation)",Моча,Кол,МСК, до 2,  1 320 ,  1 848 
97110,"Белок, разовая порция мочи (с креатинином и расчетом нормализованного по креатинину показателя) (Protein, random urine, with creatinine and protein/creatinine ratio calculation)",Моча,Кол,МСК, до 2,  1 000 ,  1 400 
1318,"Магний, суточная моча (суточная экскреция), (Magnesium, 24 h urine excretion)",Моча,Кол,МСК, до 2,  824 ,  1 154 
1318110,"Магний, разовая порция мочи (с креатинином и расчетом магний/креатинин отношения) (Magnesium, random urine, with creatinine and magnesium/creatinine ratio calculation)",Моча,Кол,МСК, до 2,  912 ,  1 277 
115110,"Фосфор, разовая порция мочи (с креатинином и расчетом нормализованного по креатинину показателя) (Phosphorus, random urine, with creatinine and phosphorus/creatinine ratio calculation)",Моча,Кол,МСК, до 2,  840 ,  1 176 
112110,"Мочевая кислота, разовая порция мочи, с креатинином и расчетом нормализованного по креатинину пок-ля",Моча,Кол,МСК, до 2,  840 ,  1 176 
1458110,"Оксалаты, разовая порция мочи (с креатинином и расчетом нормализованного по креатинину показателя) (Oxalates, random urine, with creatinine and oxalate/creatinine ratio calculation)",Моча,Кол,МСК,до 4,  8 528 ,  11 939 
ОБС110,"Оценка риска камнеобразования - литогенные субстанции мочи, суточная моча (кальций, магний, фосфор, оксалаты, мочевая кислота, креатинин суточной  мочи с расчетом суточной экскреции)",Моча,Кол,МСК, до 12,  11 280 ,  15 792 
ОБС111,"Оценка риска камнеобразования - литогенные субстанции мочи, разовая порция мочи (кальций, магний, фосфор, оксалаты, мочевая кислота, креатинин разовой  порции мочи, с расчетом нормализованных по креатинину показателей)",Моча,Кол,МСК,до 4,  12 008 ,  16 811 
1635,Уран (моча разовая),Моча,,МСК,до 6,  3 592 ,  5 029 
ЛМС,"Наркотики и психотропные вещества − скрининг (комплексный анализ мочи на опиаты, амфетамин, метамфетамин, кокаин, каннабиноиды и их метаболиты) (Drugs and Psychotropic Substances Screening: Opiates, Amphetamines, Methamphetamine, Cocaine, Cannabinoids, Cannabinoid Metabolites, Urine)",Моча,Кач,МСК,до 4,  13 592 ,  19 029 
902,"Каннабиноиды (марихуана) в моче (Cannabinoids (Marijuana), Urine)*",Моча,Кач,МСК,до 4,  5 128 ,  7 179 
925,"Опиаты (морфин/героин) в моче  (Opiates (Morphine/Heroin), Urine)*",Моча,Кач,МСК,до 4,  5 296 ,  7 414 
898,"Барбитураты в моче  (Barbiturates, Urine)*",Моча,Кач,МСК,до 4,  4 944 ,  6 922 
982,Этанол (алкоголь) в моче  (Ethanol (Alcohol) Urine)*,Моча,Кол,МСК,до 5,  6 392 ,  8 949 
9950,"«Вредные привычки» (Анализ мочи на никотин, психотропные и наркотические вещества, психоактивные лекарственные препараты (никотин; психотропные и наркотические вещества, психоактивные лекарственные препараты) (Pernicious Habits: Nicotine, Drugs, Psychostimulants and Psychotropic Substances, Urine)*",Моча,Кач,МСК,до 6,  20 792 ,  29 109 
1265,"Анализ химического состава мочевых (почечных) камней методом рентгеноструктурного анализа (Compositional Analysis of Urine (Kidney) Stones, infrared spectrometry, Х-ray diffraction analysis)",Почечный камень,Кол,МСК,до 11,  19 192 ,  26 869 
1565ПОК,"Анализ химического состава мочевых (почечных) камней методом инфракрасной спектрометрии (Compositional Analysis of Urine (Kidney)  Stones, infrared spectrometry)",Почечный камень,Кол,МСК,до 5,  10 392 ,  14 549 
158,"Копрограмма (Koprogramma, Stool)",Кал.,Кол. и Кач.,Алматы,1,  1 192 ,  1 669 
1533А1АТ,"Альфа-1-антитрипсин в кале (Alpha-1-Antitrypsin, Feces)",Кал,Кол,МСК,до 9,  9 592 ,  13 429 
1338,Кальпротектин фекальный (Fecal Calprotectin),Кал.,Кол,МСК, до 9,  5 592 ,  7 829 
1428,"Анализ кала на лямблии (Giardia lamblia, Stool)",Кал,Кач,Алматы,1,  952 ,  1 333 
159ЯГ,"Анализ кала на яйца гельминтов (яйца глистов) (PRO Stool, Helminth Eggs)",Кал.,Кач,Алматы,1,  952 ,  1 333 
1590ЯГ,Анализ кала на яйца гельминтов методом PARASEP® (яйца глистов) (Helminth Eggs),Кал.,Кач,Алматы,1,  1 832 ,  2 565 
159ПРО,Анализ кала на простейшие (PRO Stool),Кал.,Кач,Алматы,1,  952 ,  1 333 
160ОСТ,"Исследование на энтеробиоз (яйца остриц), тампон (Еnterobiasis, Swab)",Соскоб,Кач,Алматы,1,  792 ,  1 109 
236,"Содержание углеводов в кале (редуцирующие вещества в кале) (Stool Sugars, Reducing Substances, Fecal)",Кал,Полукол,МСК,до 4,  3 192 ,  4 469 
240,Исследование кала на скрытую кровь. Качественный метод,Кал.,Кач,Алматы,1,  1 192 ,  1 669 
2401,"Скрытая кровь в кале (колоректальные кровотечения), количественный иммунохимический метод FOB Gold (Quantitative Immunochemical Fecal Occult Blood, Test FOB Gold)",Кал.,Кол,МСК,до 5,  4 792 ,  6 709 
162,"Эластаза 1 (Э1), панкреатическая эластаза 1  (Elastase 1, E1)",Кал,Кол,МСК, до 8,  7 920 ,  11 088 
1592ОСС,Остаточная осмолярность стула (Stool osmotic gap),Кал,Кол,МСК,до 10,  6 776 ,  9 486 
1593,Желчные кислоты в стуле,Кал,,МСК,до 9,  16 792 ,  23 509 
1594,Эозинофильный нейротоксин в стуле,Кал,,МСК,до 9,  19 992 ,  27 989 
1596,Зонулин фекальный,Кал,,МСК,до 9,  29 592 ,  41 429 
1597,"Химотрипсин в стуле, активность",Кал,,МСК,до 9,  9 592 ,  13 429 
1599,Стеатокрит стула,Кал,,МСК,до 9,  7 192 ,  10 069 
3348,Колонофлор-16. Биоценоз,Кал,,МСК,до 9,  23 992 ,  33 589 
3347,Колонофлор-16 метаболизм,Кал,,МСК,до 9,  23 992 ,  33 589 
242,Антитела класса IgA к аденовирусу (Аnti-Adenovirus IgA),Сыворотка крови,Полукол,МСК,до 7,  3 448 ,  4 827 
241,Антитела класса IgG к аденовирусу (Аnti-Adenovirus IgG),Сыворотка крови,Полукол,МСК,до 7,  3 840 ,  5 376 
237,Антитела класса IgG к антигенам аскарид (Anti-Ascaris lumbricoides IgG),Сыворотка крови,Полукол,Алматы, до 6,  1 984 ,  2 778 
6616,"Плесень Aspergillus fumigatus (М3), аллерген-специфические IgG (Aspergillus fumigatus, IgG, M3)",Сыворотка крови,Кол,МСК,до 5,  6 392 ,  8 949 
396УРО,"Бактероиды, определение ДНК в соскобе эпителиальных клеток урогенитального тракта (Bacteroides spp., DNA, Scrape of Urogenital Epithelial Cells)*",Соскоб,Кач,МСК, до 2,  3 856 ,  5 398 
243,Aнтитела класса IgG к Borrelia burgdorferi (Anti-Borrelia burgdorferi IgG),Сыворотка крови,Кол,МСК, до 4,  3 512 ,  4 917 
244,Aнтитела класса IgM к Borrelia burgdorferi (Anti-Borrelia burgdorferi IgM),Сыворотка крови,Кол,МСК, до 4,  3 432 ,  4 805 
1190,"Aнтитела класса IgG к Borrelia burgdorferi, выявляемые методом иммуноблоттинга (Anti-Borrelia burgdorferi IgG, Immunoblot )",Сыворотка крови,Кач,МСК,до 9,  23 912 ,  33 477 
1191,"Aнтитела класса IgM к Borrelia burgdorferi, выявляемые методом Вестерн-блота (Anti-Borrelia burgdorferi IgM, Western Blot (WB))",Сыворотка крови,Кач,МСК,до 8,  23 888 ,  33 443 
3112СИН,"Боррелии, определение ДНК в синовиальной жидкости (Вorrelia burgdorferi, DNA, Synovial Fluid)*",Пункционная жидкость,Кач,МСК, до 2,  5 392 ,  7 549 
3112СМЖ,"Боррелии, определение ДНК в спинномозговой жидкости (Вorrelia burgdorferi, DNA, Cerebrospinal Fluid)*",Пункционная жидкость,Кач,МСК, до 2,  5 392 ,  7 549 
3215СЛН,"Вирус Varicella-Zoster, определение ДНК в слюне (VaricellaZosterVirus, DNA, saliva)",Слюна,Кач,МСК, до 4,  2 392 ,  3 349 
3215РОТ,"Вирус Varicella-Zoster, определение ДНК в соскобе эпителиальных клеток слизистой ротоглотки (Varicella Zoster Virus, DNA, scrape of faucial epithelial cells)",Соскоб,Кач,МСК, до 4,  2 392 ,  3 349 
3215КОЖ,"Вирус Varicella-Zoster, определение ДНК в соскобе эпителиальных клеток кожи (Varicella Zoster Virus, DNA, scrape of skin epithelial cells)",Соскоб,Кач,МСК, до 4,  2 392 ,  3 349 
3215СВ,"Вирус Varicella-Zoster, определение ДНК в сыворотке крови (Varicella ZosterVirus, DNA, serum)",Сыворотка крови,Кач,МСК, до 4,  2 392 ,  3 349 
256,"Антитела класса IgG к вирусу ветряной оспы и опоясывающего лишая (Anti-Varicella-Zoster Virus IgG, Anti-VZV IgG)",Сыворотка крови,Кол,МСК,до 6,  3 992 ,  5 589 
257,"Антитела класса IgM к вирусу ветряной оспы и опоясывающего лишая (Anti-Varicella-Zoster Virus IgM, Anti-VZV IgM)",Сыворотка крови,Кач,МСК, до 4,  4 792 ,  6 709 
312УРО,"Вирус папилломы человека высокого онкогенного риск, oпределение ДНК 16 и 18 типов в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 2 Types (16, 18))*",Соскоб,Кач,Алматы,1,  2 392 ,  3 349 
313С-УРО,"Вирус папилломы человека высокого онкогенного риска, генотипирование ДНК 14 типов: 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 + КВМ в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 14 Types (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68))",Соскоб,Кач,МСК,до 4,  6 392 ,  8 949 
399УРО,"Вирус папилломы человека, oпределение ДНК 6 и 11 типов в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 2 Types (6, 11))",Соскоб,Кач,Алматы,1,  2 152 ,  3 013 
399С-УРО (КЗХ),"Вирус папилломы человека низкого онкогенного риска, определение ДНК 3 типов: 6, 11, 44 + КВМ в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 3 Types (6, 11, 44))",Соскоб,Кач,МСК,до 4,  3 456 ,  4 838 
399С-ПРК,"Вирус папилломы человека низкого онкогенного риска, определение ДНК 3 типов: 6, 11, 44 + КВМ в соскобе эпителиальных клеток слизистой прямой кишки  (HPV DNA, Scrape of Rectal Epithelial Cells, 3 Types (6, 11, 44))",Соскоб,Кач,МСК,до 4,  3 840 ,  5 376 
399С-РОТ,"Вирус папилломы человека низкого онкогенного риска, определение ДНК 3 типов: 6, 11, 44 в соскобе эпителиальных клеток ротоглотки (HPV DNA, Scrape of Faucial Epithelial Cells, 3 Types (6, 11, 44))",Соскоб,Кач,МСК,до 4,  4 520 ,  6 328 
374С-УРО,"Вирус папилломы человека, oпределение ДНК 4 типов: 6, 11, 16, 18 + КВМ в соскобе эпителиальных клеток урогенитального тракта  (HPV DNA, Scrape of Urogenital Epithelial Cells, 4 Types (6, 11, 16, 18) Screening )",Соскоб,Кол,МСК,до 4,  2 848 ,  3 987 
377С-УРО,"Дифференцированное определение ДНК ВПЧ (Вирус папилломы человека) 14 типов: 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 + КВМ в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 14 Types (16, 18,  31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68) Screening)",Соскоб,Кол,МСК,до 4,  6 312 ,  8 837 
391С-УРО,"Вирус папилломы человека, oпределение ДНК 21 типа: 6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82 + КВМ в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 21 Types (6, 11, 16, 18, 26, 31, 33, 35, 39, 44, 45, 51, 52, 53, 56, 58, 59, 66, 68, 73, 82))",Соскоб,Кол,МСК,до 4,  11 192 ,  15 669 
311С-ПРК,"Вирус папилломы человека высокого онкогенного риска, скрининг 14 типов: 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 + КВМ, oпределение ДНК в соскобе эпителиальных клеток слизистой прямой кишки  (HPV DNA, Scrape of Rectal Epithelial Cells, 14 Types (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68) Screening )*",Соскоб,Кач,МСК,до 4,  4 632 ,  6 485 
311С-РОТ,"Вирус папилломы человека высокого онкогенного риска, скрининг 14 типов: 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 + КВМ, oпределение ДНК в соскобе эпителиальных клеток ротоглотки (HPV DNA, Scrape of Faucial Epithelial Cells, 14 Types (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68) Screening )*",Соскоб,Кач,МСК,до 4,  4 632 ,  6 485 
311С-УРО,"Вирус папилломы человека высокого онкогенного риска, скрининг 14 типов: 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 + КВМ, oпределение ДНК в соскобе эпителиальных клеток урогенитального тракта (HPV DNA, Scrape of Urogenital Epithelial Cells, 14 Types (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68) Screening )*",Соскоб,Кач,МСК,до 4,  4 632 ,  6 485 
305МОЧ,"Гарднерелла, определение ДНК в моче (Gardnerella vaginalis, DNA, Urine)*",Моча,Полукол,Алматы,1,  2 064 ,  2 890 
305СП,"Гарднерелла, определение ДНК в секрете простаты, эякуляте (Gardnerella vaginalis, DNA, Prostatic Fluid, Semen)*",Секрет простаты; Эякулят,Полукол,Алматы,1,  2 064 ,  2 890 
305УРО,"Гарднерелла, определение ДНК в соскобе эпителиальных клеток урогенитального тракта (Gardnerella vaginalis, DNA, Scrape of Urogenital Epithelial Cells)*",Соскоб,Полукол,Алматы,1,  2 064 ,  2 890 
297,Антитела к антигенам нематод рода Anisakis IgG,Сыворотка крови,Кач,МСК, до 9,  4 536 ,  6 350 
299,Антитела к антигенам Китайской двуустки Clonorchis sinensis IgG,Сыворотка крови,Кач,МСК, до 9,  5 592 ,  7 829 
3355,"Гельмо-скрин. Скрининговое ПЦР-исследование возбудителей гельминтозов (энтеробиоза, аскаридоза, дифиллоботриоза, описторхоза, тениоза)",Кал,,МСК,до 9,  12 392 ,  17 349 
328СВ,"Вирус гепатита А, определение РНК в сыворотке крови (HAV RNA, Serum)*",Сыворотка крови,Кач,МСК, до 2,  9 424 ,  13 194 
71,Антитела класса IgG к вирусу гепатита А  (Anti-HAV IgG),Сыворотка крови,Кач,МСК, до 2,  2 072 ,  2 901 
72,Антитела класса IgM к вирусу гепатита А  (Anti-HAV IgM),Сыворотка крови,Кач,Алматы,до 3,  1 992 ,  2 789 
73,"HBs-антиген вируса гепатита В (HBs-антиген, поверхностный антиген вируса гепатита B, «австралийский» антиген), качественный тест (HBsAg, Hepatitis В Surface Antigen, Qualitative)",Сыворотка крови,Кач,Алматы,до 2,  3 024 ,  4 234 
75,"Антитела классов IgM и IgG к HB-core антигену вируса гепатита B, суммарно  (Anti-HBc IgM, IgG, Antibodies to Hepatitis B Core Antigen; HBcAb, Total, HBV Core Total Antibodies (IgG + IgM))",Сыворотка крови,Кач,МСК, до 2,  1 832 ,  2 565 
77,"Антитела к HBе-антигену вируса гепатита В (Anti-HBe, HBeAb)",Сыворотка крови,Кач,МСК, до 2,  2 392 ,  3 349 
319СВ,"Вирус гепатита B, определение ДНК в сыворотке крови, качественное (HBV DNA, Serum, Qualitative)*",Сыворотка крови,Кач,Алматы,1,  2 520 ,  3 528 
320СВ,"Вирус гепатита B, определение ДНК в сыворотке крови, количественное (HBV DNA, Serum, Quantitative)*",Сыворотка крови,Кол,Алматы,1,  6 392 ,  8 949 
87,"HBs-антиген вируса гепатита В (HBs-антиген, поверхностный антиген вируса гепатита B, «австралийский» антиген), количественный тест (HBsAg, Hepatitis В Surface Antigen, Quantitative)",Сыворотка крови,Кол,МСК, до 2,  4 792 ,  6 709 
79,"Антитела классов IgM и IgG к вирусу гепатита С, суммарно (Anti-HCV Total (IgG + IgM))*",Сыворотка крови,Кач,Алматы,до 2,  2 784 ,  3 898 
1143,"Антитела класса IgG к антигенам вируса гепатита C, выявляемые методом иммуноблоттинга (Anti-HCV IgG, Immunoblot)",Сыворотка крови,Кач,МСК,до 7,  23 992 ,  33 589 
2447,"Интерлейкин-28В (ИЛ-28В), генотипирование (исследование генетических маркеров, определяющих эффективность лечения хронического гепатита С интерфероном и рибавирином) (Interleukin 28 Beta IL28B, Genotyping (Study of Genetic Markers Determining Effectiveness of Treatment of Chronic Hepatitis C in Interferon and Ribavirin))",Цельная кровь,"Кач., Описательный формат",МСК,до 11,  14 720 ,  20 608 
321СВ,"Вирус гепатита С, определение РНК в сыворотке крови, качественное (HCV RNA, Serum, Qualitative)*",Сыворотка крови,Кач,Алматы,1,  3 504 ,  4 906 
323ПЛ,"Вирус гепатита С, определение РНК в плазме крови, количественное (HCV RNA, Plasma, Quantitative)*",Плазма крови,Кол,МСК, до 16,  71 680 ,  100 352 
324ПЛ,"Вирус гепатита С, определение РНК в плазме, генотипирование с субтипами (типы 1 (субтипы 1a и 1b), 2, 3) (Hepatitis C Virus (HCV) RNA, Plasma, Genotyping, Subtypes (Types 1 (Subtypes 1a, 1b), 2, 3))*",Плазма крови,Генотип,МСК, до 2,  6 072 ,  8 501 
324,"Вирус гепатита С, количественное определение РНК вируса и генотипирование (типы 1, 2, 3) (Hepatitis C Virus (HCV) RNA, Quantitative PCR, Genotyping (Types 1, 2, 3))",Сыворотка крови,Генотип + кол.,МСК, до 2,  15 992 ,  22 389 
350СВ,"Вирус гепатита С, определение РНК в сыворотке крови методом ПЦР, количественное  (HCV RNA, Serum, Quantitative, PCR)*",Сыворотка крови,Кол,Алматы,1,  7 470 ,  10 459 
3500СВ,"Вирус гепатита С (ВГС), ультрачувствительное определение РНК ВГС (Hepatitis C Virus (HCV) RNA, Ultrasensitive PCR)",Сыворотка крови,Кач,МСК,до 7,  7 992 ,  11 189 
1688,"Вирус гепатита С РНК, генотипирование 6 генотипов (1а,1b,2,3а,4,5а,6)",Цельная кровь,Кач,МСК, до 7,  13 592 ,  19 029 
7644G1,"Мутации лекарственной резистентности NS3, NS5A и NS5B регионов генома вируса гепатита С  (для генотипов 1а, 1b)",Цельная кровь,Кач,МСК,до 14,  62 392 ,  87 349 
7644G3,"Мутации лекарственной резистентности NS3, NS5A и NS5B регионов генома вируса гепатита С   (для генотипа 3)",Цельная кровь,Кач,МСК,до 14,  62 392 ,  87 349 
1269,"Антитела классов IgM и IgG к вирусу гепатита D, суммарнo (Anti-HDV Total (IgG + IgM))",Сыворотка крови,Кач,Алматы,до 4,  2 232 ,  3 125 
325СВ,"Вирус гепатита D, определение РНК в сыворотке крови (HDV RNA, Serum)*",Сыворотка крови,Кач,МСК, до 2,  4 792 ,  6 709 
227,Антитела класса IgM к вирусу гепатита E (Anti-HEV IgM),Сыворотка крови,Кач,МСК,до 6,  3 192 ,  4 469 
228,Антитела класса IgG к вирусу гепатита E (Anti-HEV IgG),Сыворотка крови,Кач,МСК,до 6,  3 992 ,  5 589 
326СВ,"Вирус гепатита G, определение РНК в сыворотке крови (HGV RNA, Serum)*",Сыворотка крови,Кач,МСК, до 2,  10 272 ,  14 381 
122,"Антитела класса IgG к вирусу простого герпеса 1 и 2 типов (Anti-HSV-1, 2 IgG)",Сыворотка крови,Полукол,Алматы,до 2,  1 880 ,  2 632 
309МОЧ,"Герпесвирус 1 и 2 типов, определение ДНК в моче (HSV-1, 2 DNA, Urine)*",Моча,Кач,Алматы,1,  2 624 ,  3 674 
309СВ,"Герпесвирус 1 и 2 типов, определение ДНК в сыворотке крови (HSV-1, 2 DNA, Serum)*",Сыворотка крови,Кач,Алматы,1,  2 152 ,  3 013 
309СЛН,"Герпесвирус 1 и 2 типов, определение ДНК в слюне (HSV-1, 2 DNA, Saliva)*",Слюна,Кач,Алматы,1,  2 624 ,  3 674 
309СП,"Герпесвирус 1 и 2 типов, определение ДНК в секрете простаты, эякуляте (HSV-1, 2 DNA, Prostatic Fluid, Semen)*",Секрет простаты; Эякулят,Кач,Алматы,1,  2 624 ,  3 674 
309УРО,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток урогенитального тракта (HSV-1, 2 DNA, Scrape of Urogenital Epithelial Cells)*",Соскоб,Кач,Алматы,1,  2 624 ,  3 674 
3090ВПТ,"Герпесвирус 1 и 2 типов, определение ДНК в выпоте, типирование  (HSV-1, 2 DNA, Exudate, Тyping)*",Выпоты,Кач,МСК, до 2,  1 912 ,  2 677 
3090ГЛЗ,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток конъюнктивы, типирование  (HSV-1, 2 DNA, Scrape of Conjunctiva Epithelial Cells, Тyping)*",Соскоб,Кач,МСК, до 2,  2 232 ,  3 125 
3090КОЖ,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток кожи, типирование (HSV-1, 2 DNA, Scrape of Skin Epithelial Cells, Тyping)*",Соскоб,Кач,МСК, до 2,  1 912 ,  2 677 
3090НОС,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток слизистой носа, типирование (HSV-1, 2 DNA, Scrape of Nasal Epithelial Cells, Тyping)*",Соскоб,Кач,МСК, до 2,  1 912 ,  2 677 
3090РОТ,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток ротоглотки, типирование  (HSV-1, 2 DNA, Scrape of Faucial Epithelial Cells, Тyping)*",Соскоб,Кач,МСК, до 2,  2 232 ,  3 125 
3090СВ,"Герпесвирус 1 и 2 типов, определение ДНК в сыворотке крови, типирование  (HSV-1, 2 DNA, Serum, Тyping)*",Сыворотка крови,Кач,МСК, до 2,  6 848 ,  9 587 
3090СЛН,"Герпесвирус 1 и 2 типов, определение ДНК в слюне, типирование  (HSV-1, 2 DNA, Saliva, Тyping)*",Слюна,Кач,МСК, до 2,  2 232 ,  3 125 
3090СМЖ,"Герпесвирус 1 и 2 типов, определение ДНК в спинномозговой жидкости, типирование (HSV-1, 2 DNA, Cerebrospinal Fluid, Тyping)*",Пункционная жидкость,Кач,МСК, до 2,  1 912 ,  2 677 
3090СП,"Герпесвирус 1 и 2 типов, определение ДНК в секрете простаты, эякуляте, типирование (HSV-1, 2 DNA, Prostatic Fluid, Semen, Тyping)*",Секрет простаты; Эякулят,Кач,МСК, до 2,  1 912 ,  2 677 
3090УРО,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток урогенитального тракта, типирование (HSV-1, 2 DNA, Scrape of Urogenital Epithelial Cells, Тyping)*",Соскоб,Кач,МСК, до 2,  2 232 ,  3 125 
123,"Антитела класса IgМ к вирусу простого герпеса 1 и 2 типов (Anti-HSV-1, 2 IgМ)",Сыворотка крови,Кач,Алматы,до 2,  1 992 ,  2 789 
4AVHSV,Авидность Anti-HSV IgG,Сыворотка крови,Полукол,МСК,до 7,  3 032 ,  4 245 
309ГЛЗ,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток конъюнктивы (HSV-1, 2 DNA, Scrape of Conjunctiva Epithelial Cells )*",Соскоб,Кач,Алматы,1,  2 624 ,  3 674 
309КОЖ,"Герпесвирус 1 и 2 типов, определение ДНК в соскобе эпителиальных клеток кожи (HSV-1, 2 DNA, Scrape of Skin Epithelial Cells)*",Соскоб,Кач,Алматы,1,  2 624 ,  3 674 
1222,Антитела класса IgG к вирусу простого герпеса 1 типа  (Anti-HSV-1 IgG),Сыворотка крови,Полукол,МСК,до 7,  3 992 ,  5 589 
1223,Антитела класса IgG к вирусу простого герпеса 2 типа  (Anti-HSV-2 IgG),Сыворотка крови,Полукол,МСК,до 6,  2 632 ,  3 685 
276,Антитела класса IgG к герпесвирусу человека 6 типа (Anti-HHV-6 IgG),Сыворотка крови,Полукол,МСК,до 6,  3 192 ,  4 469 
352ВПТ,"Герпесвирус 6 типа, определение ДНК в выпоте (HHV-6 DNA, Exudate)*",Выпоты,Кач,МСК,до 3,  1 592 ,  2 229 
352МОЧ,"Герпесвирус 6 типа, определение ДНК в моче (HHV-6 DNA, Urine)*",Моча,Кач,МСК, до 2,  2 072 ,  2 901 
352НОС,"Герпесвирус 6 типа, определение ДНК в соскобе эпителиальных клеток слизистой носа (HHV-6 DNA, Scrape of Nasal Epithelial Cells)*",Соскоб,Кач,МСК, до 2,  2 072 ,  2 901 
352РОТ,"Герпесвирус 6 типа, определение ДНК в соскобе эпителиальных клеток ротоглотки (HHV-6 DNA, Scrape of Faucial Epithelial Cells)*",Соскоб,Кач,МСК, до 2,  2 072 ,  2 901 
352СВ,"Герпесвирус 6 типа, определение ДНК в сыворотке крови (HHV-6 DNA, Serum)*",Сыворотка крови,Кач,МСК, до 2,  3 992 ,  5 589 
352СЛН,"Герпесвирус 6 типа, определение ДНК в слюне (HHV-6 DNA, Saliva)*",Слюна,Кач,МСК, до 2,  2 072 ,  2 901 
352СМЖ,"Герпесвирус 6 типа, определение ДНК в спинномозговой жидкости (HHV-6 DNA, Cerebrospinal Fluid)*",Пункционная жидкость,Кач,МСК, до 2,  1 592 ,  2 229 
352СП,"Герпесвирус 6 типа, определение ДНК в секрете простаты, эякуляте (HHV-6 DNA, Prostatic Fluid, Semen)*",Секрет простаты; Эякулят,Кач,МСК, до 2,  1 592 ,  2 229 
352УРО,"Герпесвирус 6 типа, определение ДНК в соскобе эпителиальных клеток урогенитального тракта (HHV-6 DNA, Scrape of Urogenital Epithelial Cells)*",Соскоб,Кач,МСК, до 2,  1 592 ,  2 229 
277,Антитела класса IgG к герпесвирусу человека 8 типа (Anti-HHV-8 IgG),Сыворотка крови,Кач,МСК,до 6,  3 672 ,  5 141 
306ГЛЗ,"Гонококк, определение ДНК в соскобе эпителиальных клеток конъюнктивы (Neisseria gonorrhoeae, DNA, Scrape of Conjunctiva Epithelial Cells )*",Соскоб,Кач,Алматы, до 2,  2 064 ,  2 890 
306МОЧ,"Гонококк, определение ДНК в моче (Neisseria gonorrhoeae, DNA, Urine)*",Моча,Кач,Алматы,1,  2 064 ,  2 890 
306СИН,"Гонококк, определение ДНК в синовиальной жидкости (Neisseria gonorrhoeae, DNA, Synovial Fluid)*",Пункционная жидкость,Кач,Алматы, до 2,  2 064 ,  2 890 
