Код,Наименование,Цена,Цена со скидкой,Сроки выполнения
07-290,Антитела Ig G к кардиолипину,"8,1",5670,1-3
07-292,Антитела Ig М к кардиолипину,"8,1",5670,1-3
15-276 пакет,"Антитела к кардиолипину, IgG и IgM","12,8",11520,1-3
07-277,Антитела суммарные к кардиолипину IgА/M/G,"9,5",6650,1-3
08-373,Антитела Ig A к β2-Гликопротеину I,"8,1",5670,1-3
08-380,Антитела Ig G к β2-Гликопротеину I,"8,1",5670,1-3
08-386,Антитела Ig M к β2-Гликопротеину I,"8,1",5670,1-3
07-381,Антитела суммарные к β2-Гликопротеину IgA/G/M,"10,9",9265,6-8
11-014,Антитела к модифицированному цитруллинированному виментину (анти- MCV),"9,95",8460,15-17
09-324,Антитела к мышечно-специфической тирозинкиназе (MUSK),"26,95",22910,5-7
11-026,"Антитела к париетальным клеткам желудка (АКПЖ), IgG","8,55",7270,12-14
05-013,Антитела к протеиназе 3 (anti-PR3),"9,6",6720,1-3
09-192,Антитела к SCL-70 (Anti-SCL-70) (диагностика склеродермии),"9,1",6370,1-3
08-367,Антитела к центромерам (CENP-B),"10,15",8630,6-8
08-375,Антитела к цитоплазматическому антигену SS‑B(La) (Анти‑La/SS‑B),"9,2",7820,12-14
09-188,Антитела к цитоплазме нейтрофилов (АНЦА) IgG (pANCA/cANCA) с определением типа свечения,"20,9",17765,5-7
09-175,Антитела к циклическому цитруллинновому пептиду (АЦЦП/ACCP),"10,15",8630,1-7
09-166,Антинейтрофильные цитоплазматические антитела IgG (ANCA/АНЦА combi:Anti-BPI + Anti-Catepsin + Anti-Elastase + Anti-Lactoferrin + Anti-lysozyme + Anti-MPO + Anti- PR3),"66,15",56230,14-16
09-300,Антитела к цитоплазматическому антигену Jo (Анти-Jo),"8,6",7310,15-17
10-267,"Антитела к тканевой трансглутаминазе, IgA (скрининг целиакии)","8,25",5775,1-3
10-313,"Антитела к тканевой трансглутаминазе, IgG (скрининг целиакии)","8,25",5775,1-3
08-033,Антитела к ХГЧ IgM и IgG,"7,35",6250,14-16
11-010,Антинуклеарный фактор на клеточной линии HEp-2 (АНФ),"15,55",13220,6-8
05-058,Диагностика рассеяного склероза (изоэлектрофокусирование олигоклонального IgG в сыворотке),"36,9",31365,15-17
08-412,Диагностика нарушений резорбции костной ткани (b-Cross Laps),"10,55",8970,12-14
09-187,"Диагностика аутоиммунных миопатий (АНФ, Jo-1, PL-7, Pl12, SRP, Ku, PM/Scl, Scl-70, Mi2)",69,58650,6-8
09-189,"Обследование на целиакию (Антитела IgG и IgA к эндомизию, к тканевой трансглутаминазе, дезаминированному глиадину)","45,4",31780,7-9
01-009,Кровь. LE-клетки,"4,6",3220,2-4
09-160,Крон. Диагностика Крона: rPag1 и rPag2 IgG,"40,3",34255,5-7
08-372,"Антитела к гладкой мускулатуре (SMA), IgG","12,5",10625,10-12
08-376,Антитела к цитоплазматическому антигену SS-A(RO) (Анти- Ro/SS-A),"8,35",7100,13-15
07-293,Бета-2-микроглобулин в сыворотке,"8,75",7440,11-13
08-350,Определение антител к GBM в сыворотке крови,"6,2",5270,12-14
05-028,Антитела к экстрагируемым ядерным антигенам (ENA),"7,7",5390,1-3
13-001,Определение кариотипа,"26,95",18865,8-10
15-275 пакет,Целиакия. Скрининг при селективном дефиците IgA,16,14400,2-4
09-322,Суммарные антитела к бокаловидным клеткам для диагностики НЯК,"8,65",7355,10-12
10-624,ЭЛИ- Висцеро-Тест-24 (антитела к 24 антигенам основных органов и систем человека),"41,65",35405,14-16
,ЛЕКАРСТВЕННЫЙ МОНИТОРИНГ,,,
13-005,"Вальпроевая кислота (депакин, конвулекс, энкорат)","7,9",5530,1-3
13-006,"Карбамазепин (тимонил, актиневрал, зептол)","13,85",9695,1-3
13-012,"Такролимус (адваграф, таксорел, протопик)","22,8",15960,3-5
09-303,"Топирамат (Топирамин, Топамакс)","29,75",25290,8-10
18-004,Фармакогенетика Варфарина (генетическое исследование),"19,9",16915,9-11
05-035,"Циклоспорин (циклоспорин А, сандиммун, сандиммун неорал)","13,85",9695,3-5
13-016,"Леветирацитам (Kеppra, эпитерра)","25,8",21930,8-10
13-017,"Ламотриджин (ламиктал, конвульсан, сейзар)","25,8",21930,8-10
13-008,"Клоназепам (клонотрил, ривотрил)","28,8",24480,9-11
18-079,Фармакогенетика клопидогрела (полиморфизмы гена CYP2C19 - G681A и Trp212Ter),"19,9",16915,9-11
13-010,Сердечные гликозиды (дигоксин),"18,65",15855,8-10
13-018,Метаболиты лефлуномида (терифлуномид),25,21250,10-12
13-019,"Эверолимус (афинитор, сертикан)","18,65",15855,8-10
13-020,"Фенобарбитал (дормирал, люминал, седонал)","12,8",10880,8-10
13-021,"Теофиллин (теотард, вентакс, спофиллин)","18,65",15855,8-10
13-022,"Галоперидол (алоперидин, сенорм, галдол)","18,65",15855,8-10
13-023,Окскарбазепин (трилептал),"12,8",10880,8-10
13-024,"Палиперидон (инвега, -АИГФ)","18,65",15855,8-10
13-025,Сиролимус (рапамун),"18,65",15855,8-10
13-026,"Метотрексат (методжект, -эбеве)","18,65",15855,8-10
13-027,Гентамицин (аминогликозиды),"18,65",15855,9-11
13-028,Парацетамол (ацетаминофен),"18,65",15855,8-10
13-029,"Салициловая кислота (аспирин, салицилаты)","18,65",15855,8-10
,ДИАГНОСТИКА ИНФЕКЦИОННЫХ ЗАБОЛЕВАНИЙ,,,
,Вирусные гепатиты,,,
08-356,Гепатит А. Антитела IgG к гепатиту А (anti-HAV-IgG),6,4200,1-3
10-006,Гепатит А. Антитела IgM к гепатиту А (anti-HAV-IgM),"3,45",2415,1-3
10-304,"Гепатит А. Качественный HAV, ПЦР","9,2",7820,8-10
10-027,Гепатит В. Антиген HbeAg,"4,7",3290,1-3
10-027 после диализа,Гепатит В. Антиген HbeAg,"4,7",3290,1-3
10-010,Гепатит В. Антиген HbsАg,"4,7",3290,1-3
10-010 после диализа,Гепатит В. Антиген HbsАg,"4,7",3290,1-3
10-116,Гепатит В. Антитела anti- HBcore IgM + IgG (суммарные),"4,7",3290,1-3
10-015,Гепатит В. Антитела anti- HBcore IgM,"5,55",3885,1-3
10-018,Гепатит В. Антитела Anti-HBe,"4,7",3290,1-3
10-013,Гепатит В. Антитела anti-HBs,"4,9",3430,5-7
10-019,Гепатит В. Hbs Ag (подтверждающий тест),"4,7",3290,3-5
10-909,Гепатит В. Антитела IgG к HBc (anti-HBсAg- IgG),"4,7",3995,8-10
10-299,"Гепатит В. Антиген HbsАg, количественный","4,7",3290,1-3
10-009,"Гепатит В. Качественный HBV, ПЦР","4,05",2835,1-3
10-097,"Гепатит В. Количественный HBV, ПЦР","9,7",6790,1-3
10-288,"Гепатит B. качественный, ультрачувствительный (10 МЕ/мл), Abbott RealTime HBV","13,85",9695,3-5
10-289,"Гепатит B. количественный, ультрачувствительный (10 МЕ/мл), Abbott RealTime HBV","22,4",15680,3-5
10-290,"Гепатит В кач/колич, ультрачувствительный (10 МЕ/мл), Abbott RealTime HBV","20,6",14420,3-5
10-022,Гепатит С. Суммарные антитела к гепатиту С (anti-HCV-IgM+IgG),"4,3",3010,2-4
10-022 после диализа,Гепатит С. Суммарные антитела к гепатиту С (anti-HCV-IgM+IgG),"4,3",3010,2-4
07-283,Гепатит С. Антитела к структурным и неструктурным белкам вируса,"6,75",5740,6-8
10-045,"Гепатит С. качественный, ультрачувствительный (12 МЕ/мл), Abbott RealTime HCV","13,85",9695,3-5
10-020,"Гепатит С. Качественный HCV , ПЦР","5,45",3815,1-4
10-096,"Гепатит С. Количественный HCV, ПЦР","11,2",7840,1-4
10-047,"Гепатит С. количественный, ультрачувствительный (12 МЕ/мл), Abbott RealTime HCV","22,4",15680,3-5
10-287,"Гепатит С. кач/колич, ультрачувствительный (12 МЕ/мл), Abbott RealTime HCV","20,6",14420,3-5
10-024,"Гепатит С. Генотипирование HCV, ПЦР","10,65",7455,2-4
10-291,"Гепатит С. Генотипирование HCV, Abbott RealTime","18,9",13230,10-12
10-026,"Гепатит Д. Антитела к гепатиту Д (anti-HDV IgM+IgG), ИФА","3,95",2765,2-4
10-919,"Гепатит Д. Качественный HDV, ПЦР","6,65",4655,2-5
10-499,"Гепатит Д. Количественный HDV, ПЦР","14,85",10395,5-7
10-029,"Гепатит Е. Aнтитела к гепатиту Е (anti-HEV-IgM), ИФА","4,7",3290,3-5
10-908,"Гепатит Е. Антитела IgG к гепатиту Е (anti-HEV-IgG), качественный","4,7",3995,10-12
10-511,Гепатит Д. Антитела IgM к гепатиту Д (anti-HDV IgM),"12,9",10965,3-5
,ВНУТРИУТРОБНЫЕ ИНФЕКЦИИ / TORCH,,,
10-630,"ВПГ. Антитела IgG к Varicella Zoster (ветряная оспа) (ВПГ-III), количественный",8,5600,1-3
10-631,"ВПГ. Антитела IgM к Varicella Zoster (ветряная оспа) (ВПГ-III), количественный","9,6",6720,1-3
08-355,"Ветряная оспа. Антитела IgG к вирусу герпеса 3 типа (Varicella Zoster), качественный","7,7",6545,10-12
08-384,"Ветряная оспа. Антитела IgM к вирусу герпеса 3 типа (Varicella Zoster), качественный","9,3",7905,8-10
10-305,"Ветряная оспа. Вирус герпеса 3 типа (Varicella Zoster), ПЦР","3,75",3190,6-8
10-198,"ВПГ. Антитела IgM к вирусу простого герпеса 1 и 2 типов, ИФА","3,1",2170,1-3
10-199,"ВПГ. Антитела IgG к вирусу простого герпеса 1 и 2 типов, ИФА","3,1",2170,1-3
10-098 пакет,"ВПГ.Антитела (IgM+IgG) к вирусу простого герпеса 1,2 типа, ИФА","4,3",3870,1 - 3
10-121,"ВПГ. Авидность антител IgG к вирусу простого герпеса, ИФА","5,45",3815,2-4
10-171,"ВПГ. Herpes Virus 1,2 тип (кровь), ПЦР","4,05",2835,2-4
10-220,"ВПГ. Herpes Virus 1,2 тип (моча), ПЦР","4,05",2835,2-4
10-046,"ВПГ. Herpes Virus 1,2 тип (соскоб), ПЦР","4,05",2835,2-4
10-297,"ВПГ. Herpes Virus1 и 2 тип (грудное молоко), ПЦР","4,05",2835,2-4
10-627,"ВПГ. Антитела IgG к вирусу простого герпеса 1 типа, количественный","5,35",3745,1-3
08-357,"ВПГ. Антитела IgG к вирусу простого герпеса 1 типа, качественный","5,05",4295,7-9
08-389,ВПГ. Антитела IgM к вирусу простого герпеса 1 типа,"5,05",4295,7-9
07-289,"ВПГ. Антитела IgG к вирусу простого герпеса 2 типа, качественный","5,05",4295,7-9
08-390,ВПГ. Антитела IgM к вирусу простого герпеса 2 типа,"5,05",4295,7-9
08-381,ВПГ. Антитела IgG к вирусу герпеса 8 типа,"10,65",9055,8-10
10-138,"Вирус простого герпеса 8 типа (ВПГ-VIII) в крови, ПЦР","4,05",3445,8-10
10-609,ВПГ (ликвор) методом ПЦР,"4,05",2835,2-4
10-080,ВЭБ. Антитела IgM к капсидному антигену вируса Эпштейн-Барр,"3,2",2240,1-3
10-129,ВЭБ. Антитела IgG к капсидному антигену вируса Эпштейн-Барр,"4,9",4165,6-8
10-077,ВЭБ. Антитела IgG к раннему антигену ЕА вируса Эпштейна-Барр,"3,2",2240,2-3
10-277,ВЭБ. Антитела IgM к раннему антигену ЕА вируса Эпштейна-Барр,"3,2",2720,7-9
10-078,ВЭБ. Антитела IgG к ядерному антигену NA вируса Эпштейн -Барр,"3,2",2720,2-4
10-278,ВЭБ. Антитела IgM к ядерному антигену NA вируса Эпштейн -Барр,"3,2",2720,7-9
10-081 пакет,ВЭБ. Антитела к вирусу Эпштейн-Барр (IgG к раннему и ядерному антигену ЕА + IgM к капсидному антигену),"8,6",7740,2-3
10-274,ВЭБ. Авидность антител IgG к вирусу Эпштейна-Барр,"5,45",4635,7-9
10-076,"ВЭБ. Вирус Эпштейн-Барра (кровь), ПЦР","6,3",4410,2-4
10-320,"ВЭБ. Вирус Эпштейн-Барра (кровь, количественный), ПЦР","6,3",4410,2-4
10-127,"ВЭБ. Вирус Эпштейн-Барра (моча), ПЦР","6,3",4410,2-4
10-154,"ВЭБ. Вирус Эпштейн-Барра (слюна), ПЦР","6,3",4410,1-3
10-139,"ВЭБ. Вирус Эпштейн-Барра (соскоб), ПЦР","6,3",4410,2-4
10-075,"ВЭБ. Вирус Эпштейн-Барра (ликвор), ПЦР","6,3",4410,2-4
10-194,Краснуха. Антитела IgM к вирусу краснухи,"3,85",2695,2-4
10-195,Краснуха. Антитела IgG к вирусу краснухи,"3,85",2695,1-3
10-039 пакет,Краснуха. Антитела (IgM+IgG) к вирусу краснухи,"4,3",3870,1-3
10-119,"Краснуха. Авидность антител IgG к вирусу краснухи, ИФА","6,75",4725,2-4
10-293,"Корь. Антитела IgM, качественный","4,7",3290,2-4
10-629,"Корь. Антитела IgM к Measles virus, количественный","5,35",3745,1-3
10-294,"Корь. Антитела IgG, качественный","4,7",3290,2-4
10-628,"Корь. Антитела IgG к Measles virus, количественный","5,35",3745,1-3
10-309,"ВЭБ. Вирус Эпштейн-Барра (мазок из зева, количественный), ПЦР","3,95",3360,6-8
10-192,Токсоплазмоз. Aнтитела IgM к Toxoplasma gondii,"3,85",2695,1-3
10-193,Токсоплазмоз. Антитела IgG к Toxoplasma gondii,"3,85",2695,1-3
10-036 пакет,Токсоплазмоз. Антитела (IgM+IgG) к токсоплазме гонди,"4,3",3870,1-3
10-118,"Токсоплазмоз. Авидность антител IgG к Toxoplasma gondii, ИФА","5,45",3815,2-4
10-172,"Токсоплазмоз. T. gondi (кровь), ПЦР","5,45",3815,2-4
10-033,"Токсоплазмоз. T. gondi (соскоб), ПЦР","5,45",3815,2-4
10-034,"Токсоплазмоз. T. gondi (моча), ПЦР","5,45",3815,3-5
10-196,ЦМВ. Антитела IgM к цитомегаловирусу,"3,85",2695,1-3
10-197,ЦМВ. Антитела IgG к цитомегаловирусу,"3,85",2695,1-3
10-044 пакет,ЦМВ. Антитела (IgM+IgG) к цитомегаловирусу,"4,3",3870,1-3
10-120,"ЦМВ. Авидность антител IgG к цитомегаловирусу, ИФА","5,45",3815,2-4
10-040,"ЦМВ. Cytomegalovirus (качественный, соскоб), ПЦР","3,95",2765,2-4
10-169,"ЦМВ.Cytomegalovirus (кровь), ПЦР качественный","4,05",2835,2-4
10-608,"ЦМВ. Cytomegalovirus (качественный, ликвор) методом ПЦР","4,05",2835,2-4
10-509,"ЦМВ.Cytomegalovirus (качественный, мазок из зева/слюна), ПЦР","3,95",2765,2-4
10-219,"ЦМВ.Cytomegalovirus (качественный, моча), ПЦР","4,05",2835,2-4
10-296,"ЦМВ.Cytomegalovirus (качественный, грудное молоко), ПЦР","3,95",2765,2-4
10-284,"ЦМВ.Cytomegalovirus (количественный, соскоб), ПЦР","10,15",7105,2-4
10-604,"ЦМВ.Cytomegalovirus (количественный, мазок из зева/слюна), ПЦР","10,15",7105,2-4
10-285,"ЦМВ.Cytomegalovirus (количественный, моча), ПЦР","11,1",7770,2-4
10-227,"ЦМВ.Cytomegalovirus (количественный, кровь), ПЦР","9,6",6720,2-4
,АНТРОПОЗООНОЗНЫЕ ИНФЕКЦИИ,,,
10-099,Антитела IgA к бруцеллезу,"2,5",2125,5-7
10-126,Антитела IgG к бруцеллезу,"2,5",2125,5-7
15-199 пакет,Антитела IgA+IgG к бруцеллезу,"4,9",4410,5-7
10-249,Брюшной тиф. Антитела к возбудителю брюшного тифа (S.typhi) РПГА,"4,9",4165,7-9
10-093,Бруцеллез. Реакции Райта и Хеддельсона,"6,3",5355,6-8
10-236,Бруцеллез. Реакция Райта,"3,45",2935,6-8
10-237,Бруцеллез. Реакция Хеддельсона,"3,1",2635,6-8
10-125,"Бруцеллез. Антитела к Brucella, IgM","4,3",3655,6-8
10-092,"Бруцеллез ( Brucella), ПЦР","3,75",3190,7-9
10-300,"Возбудители клещевого энцефалита и клещевого боррелиоза (клещ), ПЦР","8,45",5915,3-5
10-301,"Возбудители клещевого энцефалита и клещевого боррелиоза (кровь), ПЦР","8,45",5915,3-5
10-280,"Лейшманиоз. Антитела к Leishmania, суммарные","4,3",3655,8-10
08-353,Иерсиниоз. Определение Ig A к Yersinia enterocolitica,"4,6",3910,14-16
10-188,"Иерсиниоз. Антитела IgG к иерсиниям (Y.enterocolitica,Y.pseudotuberculosis)","3,85",2695,3-5
10-182,Иерсиниоз. Иерсиния псевдотуберкулезис. РПГА,"4,7",3995,5-7
10-189,"Лептоспироз. Антитела IgG к Leptospira interogans, ИФА","3,85",2695,2-34
10-107,"Лептоспироз (кровь), ПЦР","4,9",4165,5-7
10-279,"Лептоспироз (ликвор), ПЦР","4,9",4165,5-7
10-179,"Лептоспироз. Лептоспиры РПГА,серология","8,35",5845,3-5
10-180,"Пастереллез. Пастереллы РПГА,серология","10,2",7140,3-5
10-095,"Листериоз. Антитела IgG к токсину Listeria, ИФА","2,6",1820,2-4
10-166,"Листериоз. Листерии (кровь), ПЦР","6,4",4480,2-5
10-173,"Листериоз. Листерии (отделяемое глаз) , ПЦР","6,4",4480,2-6
10-178,Листериоз. Листерии РПГА,"5,05",4295,3-5
10-165,"Листериоз. Листерии (моча), ПЦР","6,4",4480,2-4
10-167,"Листериоз. Листерии (соскоб) , ПЦР","6,4",4480,2-4
10-174,Листериоз. Листерии (ликвор) [ПЦР],"6,4",4480,2-4
10-094,"Листериоз. Листерии (кал), ПЦР","6,4",4480,2-4
08-354,Определение Ig G к Borellia burgdorferi (боррелия бургдорфери) (болезнь Лайма),"5,1",4335,4-6
08-388,"Определение Ig M к вирусу клещевого энцефалита, качественный","5,4",4590,5-7
10-191,Определение Ig G к вирусу клещевого энцефалита,"6,4",5440,3-5
08-385,Иерсиниоз и Псевдотуберкулез. Антитела Ig М к Y.enterocolotica и Y.pseudotuberculosis,"5,55",4720,13-15
10-106,"Псевдотуберкулез Y. psevdotuberkulesis (кал, ПЦР)","5,55",4720,6-8
10-082,"Сальмонеллез. РНГА антител к сероварам A, B, C1, C2, D, E","3,75",3190,8-10
,ПАРАЗИТОЛОГИЯ (ГЕЛЬМИНТЫ),,,
10-115,"Аскаридоз. Антитела IgG к Ascaris lumbricoides, ИФА","3,1",2170,1-3
10-111,"Аскариды (кал) ,ПЦР","6,75",4725,2-4
10-091 пакет,Антитела к тканевым гельминтам,"7,15",6435,2-4
03-004,Кал на лямблии (Giardia intestinalis),"1,5",1050,1-3
03-003,Кал на яйца гельминтов и цисты простейших,"1,75",1225,1-3
03-007,Кал на яйца глист и цисты лямблий (Parasep),"3,2",2240,1-3
03-014,Кал. Развернутый анализ на яйца гельминтов и цисты простейших,"3,2",2240,1-3
10-215,"Лямблиоз. Антитела IgA к Giardia lamblia, ИФА","2,6",1820,2-4
10-216,"Лямблиоз. Антитела IgG к Giardia lamblia, ИФА","2,6",1820,1-3
10-012,"Лямблиоз. Антитела IgM к Giardia lamblia, ИФА","2,6",1820,1-3
10-086 пакет,Лямблии. Антитела (IgA+IgG) к лямблиям,"4,3",3870,1-3
05-043,Лямблии. Качественное определение антигена Giardia intestinalis в кале,"2,8",1960,2-4
10-087,"Описторхоз. Антитела IgG к Opisthorchis felineus, ИФА","2,6",1820,1-3
08-403,Лямблии. Суммарные антитела к лямблиям (Giardia intestinalis),"4,3",3655,9-11
08-361,"Описторхоз. Антитела IgM к Opisthorchis felineus, ИФА","7,5",5250,3-5
03-006,Соскоб на яйца остриц,"1,5",1050,1-3
10-088,"Токсокароз. Антитела IgG к Toxocara, ИФА","2,6",1820,1-3
10-089,"Трихинеллез. Антитела IgG к Trichinella, ИФА","2,6",1820,1-3
10-090,"Эхинококкоз. Антитела IgG к Echinococcus granulosus, ИФА","2,6",1820,1-3
,ПОЛОВЫЕ ИНФЕКЦИИ (ИППП),,,
10-275,"ВПЧ. Вирус папилломы чел. Human P.16 , (моча) ПЦР","4,05",2835,2-4
10-231,"ВПЧ. Вирус папилломы чел. Human P. 16 , ПЦР","4,05",2835,2
10-317,"ВПЧ. Вирус папилломы чел. Human P.18 , (моча) ПЦР","4,05",2835,2-4
10-232,"ВПЧ.Вирус папилломы чел. Human P. 18, ПЦР","4,05",2835,2
15-180 пакет,Вирус папилломы человека (ВПЧ) 16 и 18 типы. ПЦР (соскоб),"5,9",5310,2
10-497,"ВПЧ-12 генотипов (16,18,31,33,35,39,45,51,52,56,58,59) с количественной оценкой","8,75",6125,2
10-640,"ВПЧ.Ультрачувствительный тест высокого онкогенного риска 14 генотипов ( HR HPV (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66 и 68), качественный, ПЦР, соскоб","11,2",7840,4-6
10-239,"ВПЧ.Вирус папилломы человека (генотипы 6,11,16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59 , 68), КВАНТ-21, ПЦР, соскоб","15,8",13430,6-8
10-063,"Гарднереллы. G. vaginalis (соскоб), ПЦР","3,2",2240,2
10-226,"Гарднереллы. G. vaginalis (моча), ПЦР","4,05",2835,2
10-209,"Гарднереллы. Антитела IgM к G. vaginalis, ИФА","2,6",1820,1-2
10-210,"Гарднереллы. Антитела IgG к G. vaginalis , ИФА","2,6",1820,1-2
10-064 пакет,"Гарднереллы. Антитела (IgM+IgG) к Gardnerella vaginalis, ИФА","4,3",3870,1-2
10-052,"Гонококки. N. gonorrhoeae (соскоб), ПЦР","3,2",2240,2
10-222,"Гонококки. N. gonorrhoeae (моча), ПЦР","4,05",2835,2
10-061,"Кандида С. albicans (соскоб), ПЦР","3,2",2240,2
10-228,"Кандида C. albicans (моча), ПЦР","4,05",2835,2
10-211,"Кандиды. Антитела IgM к С. albicans, ИФА","2,6",1820,1-2
10-212,"Кандиды. Антитела IgG к С.аlbicans, ИФА","2,6",1820,1-2
10-062 пакет,"Кандиды. Антитела (IgM+IgG) к Candida albicans, ИФА","4,3",3870,1-2
10-053,"Микоплазма. M. genitalium (соскоб), ПЦР","3,2",2240,2
10-242,"Микоплазма. M. genitalium (моча), ПЦР","4,05",2835,2
10-054,"Микоплазма. M. hominis (соскоб), ПЦР","3,2",2240,2
10-223,"Микоплазма. M. hominis (моча), ПЦР","4,05",2835,2
10-240,"Микоплазма. M. hominis/M. genitalium (соскоб), ПЦР","4,7",3290,2
10-241,"Микоплазма. M. hominis/M. genitalium (моча), ПЦР","4,7",3290,2
08-352,"Микоплазма. Антитела Ig A к M. hominis, ИФА","3,2",2240,1-2
10-202,"Микоплазма. Антитела IgM к M. hominis, ИФА","2,6",1820,1-2
10-203,"Микоплазма. Антитела IgG к M. hominis, ИФА","2,6",1820,1-2
10-234,"Микоплазмоз. Антитела IgM к M. pneumoniae, качественно","3,2",2240,2-3
10-235,"Микоплазмоз. Антитела IgG к M. pneumoniae, качественно","3,2",2240,3-4
10-635,"Микоплазма. Антитела IgM к M. pneumoniae, количественно","5,35",3745,1-2
10-634,"Микоплазма. Антитела IgG к M. pneumoniae, количественно","5,35",3745,1-2
10-055 пакет,"Микоплазма. Антитела (IgM+IgG) к M. hominis, ИФА","4,3",3870,1-2
10-204 пакет,Микоплазма. Антитела ( IgM+IgG) к М. Pneumoniae,"4,3",3870,3-4
10-302,Сифилис. РПГА с антигеном бледной трепонемы (Treponema pallidum),"3,85",2695,3-4
10-003,Сифилис. Антитела суммарные к T.pallidum,"3,45",2415,1
08-383,"Сифилис. Антитела Ig M к Treponema pallidum, ИФА","3,95",2765,2-3
10-292,Сифилис. Комплекс серологических реакций (модификация RW),"3,85",2695,2
10-303,"Сифилис. Treponema pallidum (трепонема паллидум), ПЦР, качеств","6,4",5440,6-8
10-059,"Трихомонады. T. vaginalis (соскоб), ПЦР","3,2",2240,2
10-058,"*Трихомонады Т. vaginalis (сперма), ПЦР","4,05",2835,3
10-225,"Трихомонады. T. vaginalis (моча), ПЦР","4,05",2835,3
10-207,"Трихомонады. Антитела IgМ к Trichomonas vaginalis, ИФА","2,6",1820,1-2
10-208,"Трихомонады. Антитела IgG к Trichomonas vaginalis, ИФА","2,6",1820,1-3
10-060 пакет,Трихомонады. Антитела (IgM и IgG) к Т. vaginalis,"4,3",3870,1-2
10-150,"Уреаплазма. U. parvum+ U. urealyticum (соскоб), ПЦР","4,7",3290,2
10-224,"Уреаплазма. U. parvum+ U.urealyticum (моча), ПЦР","4,7",3290,2
10-056,"Уреаплазма. U. urealyticum (соскоб), ПЦР","3,2",2240,2
10-050,"Уреаплазма. Антитела IgA к U. urealyticum, ИФА","2,8",1960,1-2
10-205,"Уреаплазма. Антитела IgМ к U. urealyticum, ИФА","2,6",1820,1-2
10-206,"Уреаплазма. Антитела IgG к U. urealyticum, ИФА","2,6",1820,1-2
10-057 пакет,"Уреаплазма. Антитела (IgM+IgG) к U. urealyticum, ИФА","4,3",3870,1-3
16-062 пакет,"Со спокойной душой. Базовый (Трихомонады, Хламидии, Гонорея, Микоплазмы).ПЦР, соскоб","9,6",8640,3-4
10-314,"INVIVOФЛОР скрин (Общая бактериальная масса: Lactobacillus spp (%), Gardnerella vaginalis (%), Atopobium vaginae (%), Prevotella species (%), Leptotrichia amnionii group (%), Staphylococcus spp (%), Enterococcus spp (%), Streptococcus spp (%); Ureaplasma urealyticum, Ureaplasma parvum, Mycoplasma hominis, Mycoplasma genitalium, Candida albicans) ПЦР, соскоб","15,55",10885,2
10-315,"INVIVOФЛОР расширенный (Общая бактериальная масса: Lactobacillus spp (%), Gardnerella vaginalis (%), Atopobium vaginae (%), Prevotella species (%), Leptotrichia amnionii group (%), Staphylococcus spp (%), Enterococcus spp (%), Streptococcus spp (%); Ureaplasma urealyticum, Ureaplasma parvum, Mycoplasma hominis, Mycoplasma genitalium, Candida albicans, CMV (цитомегаловирус), HSV ½ (вирусы простого герпеса), Neisseria gonorrhoeae (гонорея), Trichomonas vaginalis (простейшие), 
 Chlamydia trachomatis (хламидия)) ПЦР, соскоб","37,3",26110,2
10-319,"INVIVOФЛОР скрин ВПЧ 16,18 (Общая бактериальная масса: Lactobacillus spp (%), Gardnerella vaginalis (%), Atopobium vaginae (%), Prevotella species (%), Leptotrichia amnionii group (%), Staphylococcus spp (%), Enterococcus spp (%), Streptococcus spp (%); Ureaplasma urealyticum, Ureaplasma parvum, Mycoplasma hominis, Mycoplasma genitalium, Candida albicans; ВПЧ Вирус папиломы человека, Human P.16 и Human Р.18) ПЦР, соскоб","20,25",14175,2
10-643,"INVIVOФЛОР Alfa скрин (Гонококки. Neisseria gonorrhoeae, Трихомонады. Trichomonas vaginalis, Хламидии. Chlamydia trachomatis, Микоплазма Mycoplasma genitalium, Гарднерелла. Gardnerella vaginalis, Уреаплазма. Ureaplasma urealyticum,  
 Ureaplasma parvum, Микоплазма. Mycoplasma hominis, Кандида. Candida albicans) ПЦР, соскоб","19,2",13440,2-3
10-644,"INVIVOФЛОР Alfa расширенный ( Гонококки. Neisseria gonorrhoeae , Трихомонады. Trichomonas vaginalis , Хламидии. Chlamydia trachomatis, Микоплазма Mycoplasma genitalium, Гарднерелла. Gardnerella vaginalis, Уреаплазма. Ureaplasma urealyticum, Ureaplasma parvum, Микоплазма. Mycoplasma hominis, Кандида. Candida albicans, CMV (цитомегаловирус), HSV ½ (вирусы простого герпеса), ВПЧ. Вирус папилломы чел. Human P.16 и P.18) ПЦР, соскоб","26,65",18655,2-3
10-638,"Трихомонады, Хламидии, Гонорея, Микоплазмы. ПЦР, соскоб","9,6",6720,3
10-639,"Трихомонады, Хламидии, Гонорея, Микоплазмы. ПЦР, моча","9,6",6720,4
10-498,Андрофлор-скрин (Состав микрофлоры урогенитального тракта мужчины),"15,55",10885,3-4
10-049,"Хламидии. С. trachomatis (соскоб), ПЦР","3,45",2415,2
10-221,"Хламидии. C. trachomatis (моча), ПЦР","4,05",2835,2
18-158,"Хламидии. C.pneumoniae (кровь), ПЦР","6,4",5440,7
10-200,"Хламидии. Антитела IgA к C. trachomatis, ИФА","2,6",1820,1
